Comment,Designator,Footprint,LCSC,Quantity
100n,"C10,C11,C12,C13,C14,C15,C16,C17,C3,C7,C8",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C1525,11
12MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C133334,1
1k,"R5,R6",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C21190,2
1u,"C1,C2",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C15849,2
1u,"C6,C9",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C52923,2
27,"R3,R4",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25100,2
30p,"C4,C5",C_0603_1608Metric,C1658,2
5.1k,"R1,R2",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25905,2
D_Schottky,D1,D_SOD-123,C7420325,1
RP2040,U2,RP2040-QFN-56,C2040,1
USB_C_Receptacle_USB2.0_16P,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C393939,1
W25Q16JVSS,U3,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,C2843335,1
XC6206PxxxMR,U1,SOT-23-3,C5446,1
