Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,133.2,-85.0,270.0,bottom
C10,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,144.45,-84.6,0.0,bottom
C11,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,147.1,-84.6,0.0,bottom
C12,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,153.09,-85.39,180.0,bottom
C13,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,157.2,-80.45,180.0,bottom
C14,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,152.9,-74.61,180.0,bottom
C15,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,147.1,-75.4,0.0,bottom
C16,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,144.45,-78.9,0.0,bottom
C17,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,144.45,-79.85,0.0,bottom
C2,1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,138.45,-83.95,90.0,bottom
C3,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,142.25,-77.95,0.0,bottom
C4,30p,C_0603_1608Metric,160.9,-77.9,0.0,bottom
C5,30p,C_0603_1608Metric,163.75,-80.4,270.0,bottom
C6,1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,144.45,-82.7,0.0,bottom
C7,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,157.2,-81.4,180.0,bottom
C8,100n,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,144.45,-77.95,0.0,bottom
C9,1u,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,144.45,-83.65,0.0,bottom
D1,D_Schottky,D_SOD-123,134.15,-87.8,0.0,bottom
J1,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,127.96,-82.225,90.0,bottom
R1,5.1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,133.05,-82.75,180.0,bottom
R2,5.1k,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,132.9,-79.8,180.0,bottom
R3,27,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,145.099999,-80.8,180.0,bottom
R4,27,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,145.1,-81.75,180.0,bottom
R5,1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,138.8,-75.9,90.0,bottom
R6,1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,160.4625,-82.95,180.0,bottom
U1,XC6206PxxxMR,SOT-23-3,135.95,-84.35,270.0,bottom
U2,RP2040,RP2040-QFN-56,151.05,-80.0,270.0,bottom
U3,W25Q16JVSS,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,142.5175,-76.2,180.0,bottom
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,160.9,-80.4,180.0,bottom
